,经理人ID,经理人姓名,管理资产总规模,职业跨度年数,平均任职年数,出勤率,Average_AYP,Average_Double_Weighted_AYP,Overall_Min_Profit
23110,30604516,施钰,0.3,4.545205479452055,0.7424657534246576,0.16335141651597349,0.6533417670891577,0.9800126506337365,-0.187
12950,30662868,刘疆,11.209999999999999,4.838356164383562,2.349315068493151,0.4855605889014723,0.29044998228164276,0.39058502804844986,-0.3128
841,30789185,陈俊杰,0.77,0.9671232876712329,0.9671232876712328,0.9999999999999999,0.3251069412766654,0.325357000563007,0.3087999999999999
19782,30195065,彭朝阳,64.67,1.1342465753424658,1.0410958904109588,0.9178743961352657,0.375639899152692,0.26055621336688023,0.0372
25937,30040401,王劲松,99.02,17.03835616438356,1.623091976516634,0.09526106631750626,0.26803506785695835,0.2485455285286199,-0.3076
8053,30674029,胡启聪,2.3400000000000003,4.641095890410959,0.9707762557077625,0.20916961826052732,0.32608253312594476,0.21772852026880116,-0.3007999999999999
36837,30671574,朱律,13.030000000000001,4.723287671232876,1.9917808219178081,0.42169373549883993,0.2647494162544852,0.21009597961442253,0.1285
24845,30702033,吴承根,26.3,3.6876712328767125,3.687671232876713,1.0000000000000002,0.11859834186464369,0.17789751279696553,0.5118
4025,30597240,狄星华,2.4899999999999998,5.2246575342465755,5.224657534246576,1.0000000000000002,0.2188947435217402,0.17659361772349183,1.7662
1695,30692822,陈双双,196.98,1.6547945205479453,1.4438356164383561,0.8725165562913907,0.26139597333794046,0.1743906273297449,0.0125
14282,30717164,李泉,53.11,2.5178082191780824,1.5214611872146118,0.6042800145085236,0.25767408195741365,0.1618486053076393,0.0176
39671,30525101,赵诣,291.0,6.8931506849315065,2.232876712328767,0.32392686804451515,0.25628031522509753,0.15593127101015283,-0.3754999999999999
13680,30584175,刘莉莉,110.13999999999999,5.586301369863014,2.5401826484018266,0.4547163642308321,0.28081330557557327,0.1533968049434283,-0.0179
40192,30157130,翟羽佳,6.13,4.189041095890411,1.5945205479452056,0.38064094179202096,0.16625811609791158,0.1502600017651929,-0.3137999999999999
37767,30727594,张其思,8.370000000000001,2.8767123287671232,2.3168949771689498,0.8053968253968254,0.22015314816558507,0.14857659100340173,0.1039
14331,30743183,鲁秦,40.43,2.4438356164383563,2.068493150684932,0.8464125560538117,0.209084650586221,0.1453322626247744,-0.012
29346,30040442,徐婕,30.35,18.471232876712328,2.7131115459882587,0.14688307835741835,0.11680213362302642,0.13999242089351774,-0.2552
31325,30040459,杨谷,60.39,17.975342465753425,3.214611872146119,0.17883452725702384,0.37279449275242066,0.13860935093210552,-0.1734
11240,30663469,刘翀,0.79,2.0465753424657533,2.0465753424657533,1.0,0.09206144756084433,0.1380921713412665,0.1975
37302,30350041,周楠,24.580000000000002,8.715068493150685,3.6952054794520546,0.42400188619930834,0.10890756364867324,0.13688970226542965,-0.3151
36192,30682382,钟俊,7.5,4.4,1.4595890410958905,0.3317247820672478,0.17740574906552128,0.12705497166056856,-0.4783
35214,30040521,赵枫,196.69,22.46301369863014,3.291780821917808,0.1465422612513721,0.25203559993080965,0.12357714505520573,0.0769
13732,30752676,卢丽阳,2.37,0.863013698630137,0.7767123287671234,0.9000000000000001,0.12205738033332159,0.12298480600383943,0.0862
8876,30585791,黄艺明,1.29,5.073972602739726,2.2949771689497718,0.4523038156947444,0.2854481387710109,0.12108787492073521,-0.3747999999999999
38226,30040544,朱少醒,303.56,18.243835616438357,8.77351598173516,0.4809030384942684,0.2800654144539525,0.11822925651899453,0.4022
37075,30156431,周谧,29.360000000000003,5.936986301369863,1.808447488584475,0.3046069835409937,0.16980942570093285,0.114353569971259,-0.359
5617,30674079,高兰君,5.0,4.641095890410959,1.4295890410958905,0.30802833530106255,0.1785310927100665,0.11383993270766793,-0.1704
30230,30164043,徐雄晖,76.65,10.846575342465753,1.7385518590998044,0.16028578645401076,0.1333559143968859,0.11344952305060127,-0.0084
26970,30555109,王锐,1.54,3.8657534246575342,2.806392694063927,0.725962674226317,0.14727427129409834,0.11016664327435778,0.3215999999999999
23609,30050258,田宏伟,24.36,5.67945205479452,1.55662100456621,0.2740794339926033,0.1748407254064935,0.1076714134113672,-0.1383
6341,30566687,何博,0.45999999999999996,6.098630136986301,1.8732876712328768,0.30716531895777177,0.07829445593913531,0.1060545065055158,-0.1596
2931,30167007,陈振宇,24.66,11.646575342465754,3.0990867579908676,0.26609425233278444,0.1853248302848791,0.10550672528913878,0.1077999999999999
2472,30062965,蔡宇滨,18.64,6.145205479452055,1.9842465753424658,0.3228934462773072,0.18072965901891447,0.1040929273416518,-0.152
29673,30679359,徐慕浩,7.36,4.484931506849315,3.8479452054794523,0.857971899816738,0.0968542500191737,0.10314963302061507,0.0250999999999999
28928,30349587,伍智勇,51.3,8.723287671232876,2.1986301369863015,0.2520414572864322,0.06639038327791731,0.0986820083614969,-0.4514
