,序号,编号,姓名,任职公司,任职基金,任职从业时间,任职基金资产总规模,任职基金最佳回报
0,1,30532593,安安,中金公司,"中金恒瑞债券A,中金安心回报灵活配置混合A,中金安心回报灵活配置混合C,中金恒瑞债券C",800,32.37,7.4
1,2,30777698,艾邦妮,华夏基金,"华夏潜龙精选股票,华夏核心价值混合A,华夏核心价值混合C",527,2.46,-11.96
2,3,30558595,艾翀,中信建投基金,"中信建投睿信灵活配置混合A,中信建投睿利A,中信建投睿利C,中信建投睿信灵活配置混合C",400,0.67,10.89
3,4,30634044,艾定飞,华商基金,"华商电子行业量化股票,华商计算机行业量化股票发起式A,华商300智选混合A,华商300智选混合C,华商计算机行业量化股票发起式C,华商科创板量化选股混合A,华商科创板量化选股混合C,华商大盘量化精选混合",1901,12.26,12.38
4,5,30277862,艾小军,国泰基金,"国泰黄金ETF联接A,国泰黄金ETF联接C,国泰中证全指通信设备ETF联接A,国泰中证全指通信设备ETF联接C,国泰中证计算机主题ETF联接C,国泰中证全指证券公司ETF联接A,国泰中证全指证券公司ETF联接C,国泰上证180金融ETF联接C,国泰中证申万证券行业指数(LOF)C,国泰国证航天军工指数(LOF)C,国泰上证180金融ETF联接A,国泰中证半导体材料设备主题ETF,国泰标普500(QDII-ETF),国泰中证计算机主题ETF联接A,国泰中证申万证券行业指数(LOF)A,国泰国证航天军工指数(LOF)A,国泰上证180金融ETF,国泰中证军工ETF,国泰中证计算机ETF,国泰CES半导体芯片ETF,国泰中证全指证券公司ETF,国泰纳斯达克100ETF,国泰中证全指通信设备ETF,国泰黄金ETF",3679,848.35,101.06
5,6,30659779,包兵华,鹏华基金,"鹏华研究驱动混合,鹏华研究智选混合,鹏华成长智选混合A,鹏华成长智选混合C",1756,30.2,53.35
6,7,30283513,白冰洋,富国基金,"富国洞见价值股票A,富国洞见价值股票C",2364,3.59,-9.54
7,8,30158947,薄官辉,银华基金,"银华高端制造业混合A,银华中国梦30股票,银华兴盛股票,银华阿尔法混合,银华安盛混合,银华消费主题混合C,银华高端制造业混合C,银华消费主题混合A,银华优势企业混合",3208,36.5,62.7
8,9,30727776,边慧,银华基金,"银华汇利灵活配置混合A,银华汇利灵活配置混合C,银华信用精选一年定开债,银华信用精选18个月定开债,银华信用精选两年定开债",1050,25.48,8.86
9,10,30069893,白洁,中银基金,"中银悦享定期开放债券发起式,中银睿享定开债券,中银丰庆定期开放债券,中银信享定期开放债券,中银欣享利率债,中银恒泰9个月持有期债券A,中银恒泰9个月持有期债券C,中银恒嘉60天滚动持有短债A,中银恒嘉60天滚动持有短债C,中银恒嘉60天滚动持有短债E",4712,573.35,29.96
10,11,30775293,鲍杰,易方达基金,"易方达黄金ETF联接A,易方达黄金ETF联接C,易方达中证消费电子主题ETF联接发起式A,易方达中证消费电子主题ETF联接发起式C,易方达中证电信主题ETF联接发起式A,易方达中证电信主题ETF联接发起式C,易方达中证沪港深300ETF发起式联接A,易方达中证沪港深300ETF发起式联接C,易方达深证50ETF联接发起式A,易方达深证50ETF联接发起式C,易方达中证红利低波动ETF联接发起式A,易方达中证红利低波动ETF联接发起式C,易方达深证50ETF,易方达恒生港股通高股息低波动ETF,易方达中证汽车零部件主题ETF,易方达黄金ETF,易方达中证全指证券公司ETF,易方达中证沪港深300ETF,易方达中证电信主题ETF,易方达中证红利低波动ETF",429,127.18,5.34
11,12,30790377,毕建强,前海开源基金,"前海开源沪港深裕鑫A,前海开源沪港深裕鑫C",336,10.54,-6.37
12,13,30748048,包丽华,易米基金,"易米开鑫价值优选混合A,易米开鑫价值优选混合C,易米鑫选品质混合A,易米鑫选品质混合C",556,1.57,-6.2
13,14,30798413,BO YUAN LIU(刘博源),前海开源基金,前海开源沪港深乐享生活,245,1.84,-42.43
14,15,30742329,白鹏,中邮基金,"中邮低碳配置混合,中邮能源革新混合型发起A,中邮能源革新混合型发起C",900,1.91,-31.65
15,16,30037457,毕天宇,富国基金,"富国高端制造行业股票A,富国龙头优势混合A,富国均衡成长三年持有期混合A,富国均衡成长三年持有期混合C,富国高端制造行业股票C,富国龙头优势混合C,富国天博创新主题混合",6649,38.47,193.23
16,17,30760448,鲍武斌,银河基金,"银河睿达灵活配置混合A,银河睿达灵活配置混合C,银河新动能混合A,银河新动能混合C,银河智造混合C,银河智造混合A,银河鑫利混合I,银河鑫利混合A,银河鑫利混合C",693,10.4,-4.7
17,18,30289521,鲍无可,景顺长城基金,"景顺长城沪港深精选股票,景顺长城价值边际灵活配置混合A,景顺长城价值驱动一年持有混合,景顺长城价值稳进定开混合,景顺长城价值领航两年持有,景顺长城价值边际灵活配置混合C,景顺长城能源基建混合C,景顺长城国企价值混合A,景顺长城国企价值混合C,景顺长城价值发现混合A1,景顺长城价值发现混合A2,景顺长城价值发现混合A3,景顺长城能源基建混合A",3514,185.56,336.29
18,19,30081584,包斅文,财通资管,"财通资管行业精选混合,财通资管科技创新一年定开混合,财通资管优选回报一年持有期混合,财通资管数字经济混合发起式A,财通资管数字经济混合发起式C",808,15.84,-15.42
